Oct.31, 2002 16:10:00 35.5N-111.69W 0.0km m=0
AAA    236.0     67.0    +1.0
BBB     18.0     57.0    -1.0
CCC     62.0     39.0    -1.0
DDD     86.0     88.0    +1.0
EEE    104.0     58.0    +1.0
FFF    134.0     41.0    +1.0
GGG    144.0     59.0    +1.0
HHH    176.0     50.0    -1.0
III    318.0     55.0    -1.0
JJJ    272.0     50.0    -1.0
KKK    196.0     86.0    +1.0
LLL    346.0     88.0    -1.0
MMM    318.0     85.0    +1.0
NNN    312.0     74.0    -1.0
OOO    268.0     87.0    +1.0
PPP    304.0     83.0    +1.0
QQQ    236.0     67.0    +1.0
