DEC28,2015  22:33:57.1 36.520N -112.448W 12.2km Ml=3.6
ARUT   328.2     71.4   -1.0
BHU    343.0     71.4   +1.0
BTU     20.3     71.4   +1.0
CCAZ   171.9     81.2   +1.0
CCUT   324.8     71.4   +1.0
DWU    344.7     71.4   -1.0
EKU    356.0     81.2   +1.0
FLAG   154.0     71.4   -1.0
GCAZ   155.1     81.2   -1.0
HMU     43.4     71.4   +1.0
ICU    298.4     71.4   +1.0
KNB    328.9     81.2   +1.0
LCMT   307.8     81.2   +1.0
MMU     28.4     71.4   +1.0
MSU      6.1     61.0   -1.0
MTPU     7.8     71.4   -1.0
MVU      5.3     71.4   +1.0
NMU    351.0     61.0   -1.0
PGAZ    63.8     81.2   +1.0
PKCU     6.7     81.2   +1.0
SMAZ   251.4     81.2   +1.0
SZCU   334.7     71.4   -1.0
TSAZ   172.0     71.4   -1.0
U15A   126.1     81.2   -1.0
VRUT   310.2     71.4   +1.0
WMZ    175.6     71.4   +1.0
ZNPU   327.2     81.2   +1.0
WUAZ   138.7     71.4   +1.0
W13A   219.9     71.4   +1.0
