
Event      Latitude Longitude     Depth  Origin Time                      Page
071227       36.533  -112.272    24.070    0:13:20.8                        1 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
ARUT   0      1.56    323.67    142.96     65.64    0:13:47.0   0:14: 7.2
BRDG   0      2.10    154.53    335.16     60.99    0:13:55.0   0:14:20.9
CCAZ   0      0.88    177.02    357.06     57.48    0:13:36.9   0:13:50.2
CCU    0      1.31    331.03    150.55     65.64    0:13:43.2   0:14: 0.7
CCUT   0      1.34    319.66    139.00     65.64    0:13:43.7   0:14: 1.6
DLM    0      2.24    299.24    117.76     60.99    0:13:57.0   0:14:24.5
EKU    0      0.57    341.60    161.47     57.48    0:13:32.7   0:13:43.3
EMN    0      2.10    253.85     72.39     60.99    0:13:54.9   0:14:20.8
FLAG   0      1.46    158.31    338.69     65.64    0:13:45.4   0:14: 4.5
GCAZ   0      0.50    166.55    346.63     57.48    0:13:31.7   0:13:41.7
GCN    0      0.50    166.55    346.63     57.48    0:13:31.7   0:13:41.7
GMR    0      2.92    286.95    104.85     60.99    0:14: 6.6   0:14:41.6
ICU    0      1.46    295.42    114.43     65.64    0:13:45.5   0:14: 4.7
KNB    0      0.65    317.74    137.41     57.48    0:13:33.8   0:13:45.2
LCMT   0      0.92    301.77    121.19     57.48    0:13:37.4   0:13:51.1
MMU    0      1.84     24.81    205.40     65.64    0:13:51.1   0:14:14.2
MSU    0      1.98      2.23    182.29     65.64    0:13:53.2   0:14:17.8
MTLO   0      0.77    256.78     76.23     57.48    0:13:35.4   0:13:47.8
PGAZ   0      0.75     59.97    240.46     57.48    0:13:35.2   0:13:47.3
PSNM   0      0.51    311.60    131.32     57.48    0:13:31.8   0:13:41.8
R13A   0      2.13    321.07    140.05     60.99    0:13:55.3   0:14:21.6
R14A   0      1.86    341.54    161.08     65.64    0:13:51.4   0:14:14.8
R15A   0      1.68    359.87    179.86     65.64    0:13:48.7   0:14:10.1
R16A   0      1.86     19.53    200.01     65.64    0:13:51.4   0:14:14.7
R17A   0      2.26     32.94    213.89     60.99    0:13:57.1   0:14:24.8
SCN    0      1.30    152.80    333.22     65.64    0:13:43.1   0:14: 0.7
SMAZ   0      0.75    253.95     73.41     57.48    0:13:35.2   0:13:47.4
S13A   0      1.65    309.94    128.99     65.64    0:13:48.2   0:14: 9.3
S14A   0      1.42    329.96    149.42     65.64    0:13:44.8   0:14: 3.6
S15A   0      1.14    356.38    176.32     65.64    0:13:40.7   0:13:56.6
S16A   0      0.88     38.05    218.45     57.48    0:13:36.9   0:13:50.2
S17A   0      1.61     46.46    227.35     65.64    0:13:47.7   0:14: 8.4
TSAZ   0      1.26    178.55    358.57     65.64    0:13:42.5   0:13:59.6
T12A   0      1.97    276.32     94.87     65.64    0:13:53.1   0:14:17.7
T13A   0      1.40    290.81    109.83     65.64    0:13:44.6   0:14: 3.1
T14A   0      0.84    309.25    128.77     57.48    0:13:36.4   0:13:49.3
T15A   0      0.49    349.69    169.63     57.48    0:13:31.6   0:13:41.5
T16A   0      0.76     53.57    234.03     57.48    0:13:35.3   0:13:47.6
T17A   0      1.27     68.11    248.99     65.64    0:13:42.6   0:13:59.7
T18A   0      2.02     71.92    253.35     60.99    0:13:53.7   0:14:18.7
U12A   0      1.83    267.52     86.18     65.64    0:13:51.0   0:14:14.0
U13A   0      1.37    265.53     84.54     65.64    0:13:44.1   0:14: 2.3
U14A   0      0.74    261.41     80.87     57.48    0:13:35.0   0:13:47.1
U15A   0      0.11    188.71      8.70     57.48    0:13:26.3   0:13:32.8
U16A   0      1.00    112.56    293.23     65.64    0:13:38.6   0:13:53.0
U17A   0      1.30     86.60    267.58     65.64    0:13:43.0   0:14: 0.5
U18A   0      1.94     92.62    274.04     65.64    0:13:52.6   0:14:16.8
V13A   0      1.54    244.37     63.36     65.64    0:13:46.7   0:14: 6.7
V14A   0      1.12    217.19     36.70     65.64    0:13:40.4   0:13:56.1
V15A   0      0.72    173.56    353.62     57.48    0:13:34.7   0:13:46.6
V17A   0      1.50    126.78    307.64     65.64    0:13:46.1   0:14: 5.7
WUAZ   0      1.25    144.06    324.59     65.64    0:13:42.3   0:13:59.3

Event      Latitude Longitude     Depth  Origin Time                      Page
071227       36.533  -112.272    24.070    0:13:20.8                        2 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
W13A   0      1.94    222.97     42.03     65.64    0:13:52.6   0:14:16.8
W14A   0      1.47    206.80     26.33     65.64    0:13:45.6   0:14: 5.0
W15A   0      1.35    179.83    359.83     65.64    0:13:43.8   0:14: 1.9
W16A   0      1.56    157.04    337.47     65.64    0:13:46.9   0:14: 7.1
W17A   0      1.93    138.41    319.32     65.64    0:13:52.4   0:14:16.4
X15A   0      2.04    179.19    359.21     60.99    0:13:54.1   0:14:19.4
X16A   0      2.22    161.94    342.42     60.99    0:13:56.6   0:14:23.8
X18A   0      2.75    135.88    317.22     60.99    0:14: 4.3   0:14:37.5
