Event      Latitude Longitude     Depth  Origin Time                      Page
141201       35.032  -111.699     4.000   12:25: 2.8                        1 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
ARUT   0      3.09    333.46    152.43     50.02   12:25:53.2  12:26:31.3
BMT    0      3.74    100.40    282.91     50.02   12:26: 2.4  12:26:47.7
BRDG   0      0.59    133.12    313.41     90.00   12:25:14.6  12:25:28.1
CCAZ   0      0.75    325.90    145.60     90.00   12:25:17.5  12:25:32.0
CCU    0      2.86    337.65    156.84     50.50   12:25:50.0  12:26:25.5
CCUT   0      2.85    332.35    151.37     50.50   12:25:49.9  12:26:25.3
DLM    0      3.55    317.19    135.40     50.02   12:25:59.8  12:26:43.0
EKU    0      2.14    342.63    162.17     50.50   12:25:39.7  12:26: 7.2
EMN    0      2.65    290.47    108.70     50.50   12:25:47.0  12:26:20.1
FLAG   0      0.16     25.77    205.82     90.00   12:25: 6.5  12:25:17.3
GCAZ   0      1.07    341.01    160.76     56.76   12:25:23.3  12:25:40.0
GCN    0      1.07    341.01    160.76     56.76   12:25:23.3  12:25:40.0
GMR    0      4.02    306.06    123.66     50.02   12:26: 6.4  12:26:54.8
ICU    0      2.78    320.19    138.89     50.50   12:25:48.8  12:26:23.4
ISA    0      5.57    278.43     94.53     49.41   12:26:28.4  12:27:34.0
KNB    0      2.18    335.64    154.99     50.50   12:25:40.3  12:26: 8.2
LCMT   0      2.34    328.08    147.17     50.50   12:25:42.5  12:26:12.3
MMU    0      3.18      5.77    186.01     50.02   12:25:54.5  12:26:33.5
MVCO   0      3.38     49.08    230.96     50.02   12:25:57.4  12:26:38.7
MSU    0      3.50    353.88    173.59     50.02   12:25:59.0  12:26:41.6
MTLO   0      1.80    317.62    136.75     56.76   12:25:34.5  12:25:58.5
PGAZ   0      1.88      5.80    185.94     56.76   12:25:35.8  12:26: 0.6
PLM    0      4.59    250.09     67.20     50.02   12:26:14.6  12:27: 9.4
PSNM   0      2.02    335.49    154.88     50.50   12:25:38.0  12:26: 4.1
PV09   0      4.03     30.01    211.54     50.02   12:26: 6.6  12:26:55.0
RVR    0      4.80    259.14     75.94     50.02   12:26:17.6  12:27:14.6
SCN    0      0.36     20.75    200.84     90.00   12:25:10.2  12:25:22.3
SMAZ   0      1.76    317.49    136.63     56.76   12:25:33.9  12:25:57.5
TDM    0      2.82    170.82    351.11     50.50   12:25:49.4  12:26:24.4
TSAZ   0      0.50    298.60    118.30     90.00   12:25:12.8  12:25:25.7
T13A   0      2.67    318.58    137.29     50.50   12:25:47.3  12:26:20.7
T14A   0      2.32    331.41    150.60     50.50   12:25:42.2  12:26:11.7
T15A   0      2.06    344.59    164.19     50.50   12:25:38.5  12:26: 5.1
T16A   0      1.95      4.54    184.65     56.76   12:25:37.0  12:26: 2.5
U13A   0      2.30    307.47    126.15     50.50   12:25:42.0  12:26:11.3
U14A   0      1.83    319.34    138.48     56.76   12:25:35.1  12:25:59.5
U15A   0      1.47    341.07    160.72     56.76   12:25:29.5  12:25:50.3
