November 25, 2014 35.054N 111.708W  4.2 M=2.8
CCAZ  325.4    90.0  +1.0
CCUT  332.3    52.9  +1.0
EKU   342.6    52.9  -1.0
FLAG   32.3    90.0  -1.0
GCAZ  341.0    59.8  -1.0
ICU   320.0    52.9  +1.0
KNB   335.6    52.9  +1.0
LCMT  327.9    52.9  +1.0
MVCO   49.4    52.4  -1.0
PGAZ    6.1    59.8  +1.0
SMAZ  317.2    59.8  +1.0
TSAZ  296.8    90.0  +1.0
U15A  341.1    59.8  +1.0
X16A  160.8    90.0  +1.0
X18A  109.4    59.8  +1.0
W13A  272.0    59.8  +1.0
W18A   87.2    59.8  +1.0
WUAZ   30.5    90.0  -1.0
