Event      Latitude Longitude     Depth  Origin Time                      Page
141119       35.028  -111.693     5.600   11:44:34.8                        1 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
ARUT   0      3.09    333.42    152.38     52.35   11:45:25.1  11:46: 3.2
BMT    0      3.73    100.35    282.86     52.35   11:45:34.2  11:46:19.3
BRDG   0      0.58    133.16    313.46     90.00   11:44:46.4  11:44:59.7
CCAZ   0      0.76    325.76    145.45     90.00   11:44:49.6  11:45: 4.0
CCU    0      2.87    337.60    156.78     52.88   11:45:21.9  11:45:57.4
CCUT   0      2.86    332.30    151.32     52.88   11:45:21.7  11:45:57.1
DLM    0      3.56    317.18    135.38     52.35   11:45:31.7  11:46:14.9
EKU    0      2.14    342.54    162.07     52.88   11:45:11.6  11:45:39.0
EMN    0      2.65    290.51    108.75     52.88   11:45:18.8  11:45:52.0
FLAG   0      0.16     23.62    203.66     90.00   11:44:38.7  11:44:49.2
GCAZ   0      1.07    340.84    160.59     59.80   11:44:55.1  11:45:11.9
GCN    0      1.07    340.84    160.59     59.80   11:44:55.1  11:45:11.9
GMR    0      4.02    306.07    123.67     52.35   11:45:38.3  11:46:26.7
ICU    0      2.78    320.17    138.86     52.88   11:45:20.7  11:45:55.3
ISA    0      5.58    278.47     94.56     51.64   11:46: 0.3  11:47: 5.9
KNB    0      2.19    335.57    154.91     52.88   11:45:12.1  11:45:40.1
LCMT   0      2.35    328.03    147.12     52.88   11:45:14.4  11:45:44.2
MMU    0      3.18      5.67    185.91     52.35   11:45:26.4  11:46: 5.4
MVCO   0      3.38     48.98    230.85     52.35   11:45:29.2  11:46:10.4
MSU    0      3.50    353.81    173.52     52.35   11:45:30.9  11:46:13.4
MTLO   0      1.80    317.60    136.72     59.80   11:45: 6.4  11:45:30.4
PGAZ   0      1.88      5.64    185.78     59.80   11:45: 7.7  11:45:32.4
PLM    0      4.60    250.16     67.26     52.35   11:45:46.5  11:46:41.2
PSNM   0      2.02    335.41    154.80     52.88   11:45: 9.8  11:45:36.0
PV09   0      4.03     29.92    211.45     52.35   11:45:38.4  11:46:26.8
RVR    0      4.80    259.20     76.00     52.35   11:45:49.4  11:46:46.4
SCN    0      0.36     19.82    199.91     90.00   11:44:42.4  11:44:54.2
SMAZ   0      1.76    317.46    136.60     59.80   11:45: 5.8  11:45:29.4
TDM    0      2.81    170.91    351.20     52.88   11:45:21.1  11:45:56.0
TSAZ   0      0.50    298.74    118.43     90.00   11:44:45.0  11:44:57.7
T13A   0      2.68    318.57    137.27     52.88   11:45:19.2  11:45:52.6
T14A   0      2.32    331.36    150.54     52.88   11:45:14.1  11:45:43.6
T15A   0      2.06    344.49    164.09     52.88   11:45:10.4  11:45:37.0
T16A   0      1.96      4.39    184.50     59.80   11:45: 8.8  11:45:34.3
U13A   0      2.31    307.47    126.15     52.88   11:45:13.9  11:45:43.2
U14A   0      1.84    319.31    138.45     59.80   11:45: 7.0  11:45:31.4
U15A   0      1.48    340.94    160.59     59.80   11:45: 1.4  11:45:22.2
U16A   0      1.20     22.25    202.58     59.80   11:44:57.1  11:45:15.2
U17A   0      1.78     27.81    208.41     59.80   11:45: 6.1  11:45:29.8
V13A   0      2.04    294.38    113.06     52.88   11:45:10.1  11:45:36.5
V14A   0      1.30    298.05    117.23     59.80   11:44:58.7  11:45:17.7
V15A   0      0.88    333.72    153.44     90.00   11:44:51.8  11:45: 7.1
V17A   0      0.94     50.87    231.39     90.00   11:44:53.0  11:45: 8.6
X16A   0      0.64    161.09    341.23     90.00   11:44:47.5  11:45: 1.2
X18A   0      1.52    108.64    289.63     59.80   11:45: 2.0  11:45:23.2
W13A   0      1.80    272.87     91.61     59.80   11:45: 6.4  11:45:30.3
W14A   0      1.15    279.61     98.82     59.80   11:44:56.4  11:45:13.9
W15A   0      0.49    287.91    107.59     90.00   11:44:44.8  11:44:57.5
W16A   0      0.15     63.11    243.20     90.00   11:44:38.5  11:44:48.9
W18A   0      1.61     86.26    267.38     59.80   11:45: 3.4  11:45:25.4
WHF    0      5.48    278.90     95.06     51.64   11:45:58.9  11:47: 3.4
WMZ    0      0.53    283.97    103.61     90.00   11:44:45.5  11:44:58.5

Event      Latitude Longitude     Depth  Origin Time                      Page
141119       35.028  -111.693     5.600   11:44:34.8                        2 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
WRN    0      4.31    314.32    132.00     52.35   11:45:42.4  11:46:33.9
WUAZ   0      0.55     28.06    208.25     90.00   11:44:45.9  11:44:58.9
319A   0      4.17    150.29    331.61     52.35   11:45:40.3  11:46:30.3
ALQ    7      4.30     89.69    272.63     52.35   11:45:42.2  11:46:33.7
BKS   18      8.96    291.57    105.32     50.81   11:46:47.6  11:48:30.3
DUG   36      5.23    350.55    169.87     51.64   11:45:55.5  11:46:57.3
GOL   43      6.86     45.33    229.15     51.83   11:46:18.4  11:47:38.0
LUB   63      8.26     97.26    282.79     50.81   11:46:37.9  11:48:12.9
GSC   85      4.20    275.20     92.26     52.35   11:45:40.8  11:46:31.1
TUC  119      2.82    164.09    344.59     52.88   11:45:21.1  11:45:56.1
