U15A     -1.0      80.00     305.0
EKU      +1.0      80.00     210.0
GCN      +1.0      85.00     325.0
BHU      +1.0      76.00     353.0
ICU      +1.0      76.00      64.0
CCAZ     +1.0      76.00     158.0
BTU      +1.0      76.00      32.0
WMZ      +1.0      76.00     168.0
WUAZ     +1.0      76.00     136.0
W13A     -1.0      52.00     211.0
SHP      +1.0      52.00     265.0
X16A     -1.0      52.00     164.0
GMR      -1.0      52.00     285.0
Y14A     -1.0      52.00     185.0
X18A     -1.0      52.00     133.0
GLA      -1.0      52.00     205.0
