December 1, 2014 05:57:37.6 35.032N, 111.692W 4.0 M=4.7 
CCAZ  325.5    90.0  +1.0
CCUT  332.3    52.9  +1.0
EKU   342.5    52.9  -1.0
FLAG   23.9    90.0  +1.0
GCAZ  340.7    59.8  +1.0
ICU   320.1    52.9  -1.0
KNB   335.5    52.9  -1.0
LCMT  328.0    52.9  +1.0
MVCO   49.0    52.4  -1.0
PGAZ    5.6    59.8  -1.0
SMAZ  317.4    59.8  -1.0
TSAZ  298.3    90.0  +1.0
U15A  340.9    59.8  -1.0
X16A  161.3    90.0  +1.0
X18A  108.8    59.8  +1.0
W13A  272.8    59.8  -1.0
W18A   86.4    59.8  +1.0
WMZ   283.6    90.0  +1.0
WUAZ   28.2    90.0  -1.0
319A  150.3    52.4  +1.0
TUC   164.1    52.9  +1.0
