December 1, 2014 05:57:36.6 35.055N 111.709W 1.4 M=4.7
CCAZ  325.4    90.0  +1.0
CCUT  332.3    52.9  +1.0
EKU   342.7    52.9  -1.0
FLAG   32.7    90.0  +1.0
GCAZ  341.0    59.8  +1.0
ICU   320.0    52.9  -1.0
KNB   335.6    52.9  -1.0
LCMT  327.9    52.9  +1.0
MVCO   49.5    52.4  -1.0
PGAZ    6.1    59.8  -1.0
SMAZ  317.2    59.8  -1.0
TSAZ  296.7    90.0  +1.0
U15A  341.1    59.8  -1.0
X16A  160.8    90.0  +1.0
X18A  109.4    59.8  +1.0
W13A  272.0    59.8  -1.0
W18A   87.2    59.8  +1.0
WMZ   281.5    90.0  +1.0
WUAZ   30.6    90.0  -1.0
319A  150.3    52.4  +1.0
TUC     2.8    52.9  +1.0
