December 1, 2014 05:57:35.0  35.056N 111.711W 4.0 M=4.7 
CCAZ  325.5    90.0  +1.0
EKU   342.7    52.9  -1.0
FLAG   33.5    90.0  +1.0
GCAZ  341.1    59.8  +1.0
ICU   320.0    52.9  -1.0
KNB   335.6    52.9  -1.0
LCMT  328.0    52.9  -1.0
MVCO   49.5    52.4  -1.0
PGAZ    6.2    59.8  -1.0
SMAZ  317.2    59.8  -1.0
TSAZ  296.7    90.0  +1.0
U15A  341.1    59.8  -1.0
X16A  160.7    90.0  +1.0
X18A  109.4    59.8  +1.0
W13A  272.0    59.8  -1.0
W18A   87.2    59.8  +1.0
WMZ   281.3    90.0  +1.0
WUAZ   30.8    90.0  -1.0
319A  150.3    52.4  +1.0
TUC   164.0    52.9  +1.0
