nov 21, 2014    19:19:50 36.258N  112.364W 11.3km Ml=2.9
FLAG   150.4     71.4   +1.0
GCAZ   138.2     90.0   -1.0
CCAZ   168.7     90.0   -1.0
CCUT   328.5     71.4   +1.0
EKU    352.6     90.0   -1.0
ICU    305.8     71.4   +1.0
KNB    334.2     90.0   -1.0
LCMT   317.0     71.4   +1.0
PGAZ    48.0     90.0   -1.0
SMAZ   275.7     90.0   +1.0
TSAZ   173.8     90.0   -1.0
U15A    18.9     90.0   -1.0
W18A   117.2     60.9   -1.0
WMZ    178.4     71.4   +1.0
X16A   157.4     71.4   -1.0
W13A   227.4     71.4   +1.0
WUAZ   132.3     71.4   +1.0
