MARCH 13, 1992 17:18 UT  39.70N-39.57E  28km mb=6.2 Ms=6.8
EYL   280.6    87.6  -1.0
HRT   263.9    87.7   0.5
IZI   280.3    87.8  -0.5
ISK   285.2    87.8  -1.0
CTT   285.3    87.9  -1.0
KGT   280.6    88.1  -0.5
SIM   324.3    55.6  -1.0
HLW   217.0    52.1   1.0
UZH   311.5    49.1  -1.0
OBN   353.6    49.1  -1.0
PUL   346.8    36.7  -1.0
FRU    71.6    33.2   1.0
TIK    23.4    26.0  -1.0
MBB   108.4    22.5  -1.0
AAA   109.3    22.4   1.0
BBB     5.6    21.3   1.0
CCC    14.5    21.2  -1.0
DDD    45.2    20.9   1.0
PET    33.4    20.0  -1.0
MIM   315.8    19.9  -1.0
IMA     5.6    19.8  -1.0
PEN   110.3    19.6  -1.0
FBA     3.2    19.5  -1.0
TTA     7.2    19.1  -1.0
BND     3.9    19.1   1.0
NAC   109.8    19.1   1.0
ALI   110.4    19.0  -1.0
VNW     7.4    18.7  -1.0
PMR     4.2    18.7  -1.0
BLG     2.7    18.7  -1.0
BAL     0.9    18.5  -1.0
SLK     4.9    18.3  -1.0
LVN   314.4    18.3  -1.0
PDB     7.0    18.2  -1.0
KDC     6.5    17.6  -1.0
PCI    96.9    17.5   1.0
SRD   106.4    17.4  -1.0
TAN    99.1    17.1   1.0
EEE   105.3    17.1  -1.0
FFF    91.9    16.9   1.0
GGG   316.4    16.7   1.0
IKL   317.1    16.2  -1.0
PRM   315.2    16.1  -1.0
DPW   345.2    16.0  -1.0
HVU   339.6    15.6  -1.0 
DAU   338.0    15.5  -1.0
DUG   339.0    15.5  -1.0
MSU   337.9    15.4  -1.0
YCM    85.0    15.2  -1.0
IZM   263.5    87.9  +0.5
GPA   278.1    87.5  -1.0
ALT   266.2    87.6  +0.5
BCK   250.3    87.6   0.5
KHL   260.2    87.6   1.0
ELL   245.9    87.6   1.0
KCT   277.5    87.7  -0.5
EDC   278.0    87.8  -1.0
DMK   288.7    87.8  -0.5
YER   252.6    87.8   1.0
EZN   274.3    88.0  +0.5
KVT   302.3    87.0  -0.5

