MAR. 13, 1992 18:37:53 39.84N-39.52E  10 km  mb=4.7      
VRI   307.0    53.2  +1.0
CLI   311.0    53.2  +1.0
CMP   302.0    53.0  +1.0
OBN   354.0    50.2  -1.0
KBA   300.0    42.1  +1.0
GECZ  305.0    42.1  +1.0
BHG   301.0    41.0  +1.0
WTT   299.0    40.0  +1.0
CLL   311.0    40.0  +1.0
GRF   306.0    39.0  +1.0
BCAO  214.0    30.3  +1.0
LSA    87.0    29.5  +1.0
DAG   344.0    29.1  +1.0
LZH    73.0    27.5  -1.0
HHC    64.0    26.5  +1.0
CHTO   94.0    26.1  -1.0
INK   357.0    21.5  -1.0
KVT   296.0    55.8  -1.0
