MARCH. 15, 1992 16:16:24  39.53N-39.93E  20 km Mb=5.5                
BBTK  275.0    57.9  +1.0
BHL   213.0    57.8  -1.0
BHD   149.0    57.6  +1.0
TEH   109.0    57.2  +1.0
BUC   300.0    56.8  +1.0
VRI   307.0    56.8  +1.0
CLI   311.0    56.8  +1.0
MLR   305.0    56.7  +1.0
CMP   302.0    56.5  -1.0
DRA   299.0    56.4  -1.0
MDB   305.0    36.1  +1.0
KZN   279.0    55.4  +1.0
SRM   278.0    53.7  -1.0
PVY   288.0    53.7  -1.0
PUK   286.0    53.7  -1.0
IVA   289.0    53.5  -1.0
OBN   353.0    53.0  +1.0
MAIO   96.0    53.0  +1.0
PLE   290.0    52.6  -1.0
ULC   285.0    52.6  -1.0
TTG   287.0    52.6  -1.0
NKY   288.0    52.4  -1.0
BDV   287.0    52.2  -1.0
BRY   289.0    51.7  -1.0
HCY   287.0    51.7  -1.0
ZAG   297.0    46.7  +1.0
VKA   305.0    45.8  +1.0
LJU   298.0    44.2  +1.0
CEY   297.0    44.0  +1.0
VOY   297.0    43.2  +1.0
KBA   300.0    41.6  +1.0
PRU   309.0    41.5  +1.0
GECZ  305.0    41.0  +1.0
FVI   299.0    41.0  +1.0
KHC   306.0    41.0  +1.0
BHG   302.0    40.8  +1.0
WET   305.0    39.9  +1.0
WTTA  300.0    38.9  +1.0
CLL   311.0    38.7  +1.0
SQTA  300.0    38.7  +1.0
FUR   302.0    36.4  +1.0
GRF   306.0    37.7  +1.0
OSS   298.0    37.5  +1.0
LLS   298.0    36.3  -1.0
SLE   300.0    35.6  +1.0
ZLA   300.0    35.6  -1.0
TNS   306.0    35.1  +1.0
DIX   296.0    35.0  -1.0
EMS   296.0    34.6  -1.0
KOE   306.0    34.6  +1.0
BGG   306.0    34.4  +1.0
BNS   307.0    34.2  -1.0
WLF   304.0    33.9  +1.0
MEM   306.0    33.7  +1.0
ENN   307.0    33.6  -1.0
SNF   306.0    33.2  +1.0
ECHE  283.0    32.5  +1.0
NDI    98.0    32.2  +1.0
EVIA  282.0    32.2  -1.0
GUD   286.0    32.0  +1.0
TOL   285.0    32.0  -1.0
ECOG  280.0    31.9  +1.0
MAL   280.0    31.7  +1.0
EHOR  282.0    31.7  +1.0
VMQ    67.0    31.5  +1.0
EVAL  282.0    31.3  -1.0
BCAO  215.0    30.3  -1.0
HYB   112.0    30.3  +1.0
LSA    87.0    29.5  +1.0
DAG   344.0    28.9  +1.0
GTA    70.0    28.8  +1.0
LZH    73.0    27.6  +1.0
HHC    64.0    26.5  +1.0
KMI    85.0    26.3  +1.0
KAN    73.0    26.2  +1.0
CHG    94.0    26.2  +1.0
CHTO   94.0    26.2  +1.0
TIY    67.0    26.0  -1.0
GYA    82.0    25.7  -1.0
BJI    63.0    25.5  +1.0
TIA    67.0    24.9  -1.0
WHN    74.0    24.7  -1.0
BUL   192.0    24.6  +1.0
CNZ    55.0    24.3  +1.0
NJZ    70.0    24.0  -1.0
HKC    82.0    23.6  -1.0
IPM   106.0    23.4  +1.0
SLR   192.0    23.2  +1.0
KGM   106.0    22.5  -1.0
FRS   193.0    22.0  -1.0
BAG    83.0    21.3  +1.0
MAT    56.0    21.0  -1.0
PCI    97.0    18.3  +1.0
MKS   101.0    17.6  -1.0
GTEP  223.0    56.1  +1.0

