MAR. 21, 1992  23:15:50  39.60N-39.87E 17 km  mb=4.7
BBTK  275.0    54.0  -1.0
VRI   307.0    53.0  +1.0
OBN   353.0    50.0  +1.0
CMP   302.0    52.9  +1.0
KHC   306.0    41.0  -1.0
BRG   310.0    40.5  +1.0
WTTA  300.0    39.0  +1.0
SQTA  300.0    38.9  +1.0
OSS   298.0    37.5  +1.0
VOL   297.0    37.0  -1.0
LLS   298.0    36.4  +1.0
SLE   300.0    35.7  -1.0
ZLA   300.0    35.7  -1.0
TNS   306.0    35.1  +1.0
OIX   296.0    35.1  +1.0
EMS   296.0    34.7  -1.0
EKA   313.0    32.2  +1.0
BCAO  214.0    30.3  -1.0
DAG   344.0    29.0  -1.0
KIC   242.0    26.9  +1.0
LIC   243.0    26.8  +1.0
HHC    64.0    26.5  +1.0
GZT   221.0    56.0  -1.0 

