APR. 20, 1992 18:04:59  39.58N-39.83E  6.4 km  mb=4.6
KAS   293.0    54.0  -1.0
KBA   300.0    41.7  +1.0
PRU   309.0    41.6  +1.0
FVI   299.0    41.0  -1.0
SFI   291.0    40.3  -1.0
PGD   291.0    40.1  -1.0
CTI   287.0    39.9  -1.0
CLL   311.0    38.8  -1.0
BDI   291.0    38.5  -1.0
GRF   306.0    37.7  +1.0
SBF   291.0    35.1  +1.0
CDF   302.0    34.7  +1.0
LPL   295.0    34.6  +1.0
BNI   294.0    34.6  -1.0
FRF   290.0    34.5  +1.0
BSF   300.0    34.5  +1.0
AVF   297.0    33.1  +1.0
TCFO  296.0    32.9  +1.0
BCAO  214.0    30.3  +1.0
DAG   344.0    29.0  -1.0
LZH    73.0    29.0  +1.0
KIC   242.0    26.9  +1.0
LIC   243.0    26.8  +1.0
BUL   192.0    24.5  +1.0
KVT   299.0    56.0  +1.0
MLT   223.0    83.4  -1.0
UZM   324.0    90.0  +1.0
