APR. 22, 1992  03:03:52  39.60N-39.73E  4.7 km  mb=4.5
MLR   305.0    56.7  -1.0
DBN   353.0    52.5  -1.0
KBA   300.0    42.0  +1.0
PRU   309.0    41.8  -1.0
BHG   302.0    41.0  +1.0
MOX   309.0    38.1  +1.0
OSS   298.0    38.0  -1.0
VOL   297.0    37.1  -1.0
LLS   298.0    36.4  -1.0
TMA   296.0    36.4  -1.0
SLE   300.0    35.7  -1.0
ZLA   300.0    35.7  -1.0
TNS   306.0    35.1  +1.0
DIX   296.0    35.1  -1.0
EMS   216.0    34.7  -1.0
BCAO  214.0    30.3  +1.0
GTA    70.0    28.7  -1.0
SES   342.0    17.1  -1.0
KVT   300.0    56.2  +1.0
MLT   220.0    84.6  +1.0
UZM   355.0    90.0  +1.0
PSD    14.0    90.0  +1.0
