 BGB     +0.5      50.5     276.1
 CDH1    +1.0      50.5     272.3
 DLM     -0.5      56.8     299.3
 DWU     +0.5      56.8     356.6
 EPN     +1.0      50.5     279.6
 EPR     +1.0      56.8     282.1
 FLAG    -1.0      56.8     146.9
 GLR     +0.5      50.5     280.0
 JON     +0.5      50.5     263.0
 LSM     +1.0      50.5     269.6
 MMU     +1.0      56.8      42.0
 NPN     +1.0      56.8     298.3
 PRN     +1.0      56.8     290.1
 RMU     +0.5      56.8      79.3
 SHRG    +1.0      56.8     261.4
 SPRG    +1.0      50.5     268.3
 ARUT    -0.5      77.1     156.0
 KNB     -1.0      77.1     196.0



