ARUT     +1.0      56.8     323.6
CCU      +1.0      56.8     331.5
CLC      +1.0      50.0     261.0
DLM      +1.0      50.5     298.1
DWU      +1.0      56.8     340.8
GLA      -1.0      50.0     210.7
GSC      -1.0      50.0     251.5
ISA      +1.0      49.2     261.0
MMU      -1.0      56.8      27.4
MSU      -1.0      56.8       3.9
NMUZ     +0.5      56.8     348.1
PLM      +1.0      50.0     230.1
SCN      -1.0      56.8     152.2
SNO      -0.5      50.5      13.0
SRG      +0.5      50.5     301.1
TPC      +1.0      50.0     231.6
WMZ      +1.0      56.8     179.6
SDP      +0.5      50.0      98.2
