ARUT     +1.0      53.9     323.6
CCU      +1.0      53.9     331.5
CLC      +1.0      50.0     261.0
DLM      +1.0      50.5     298.1
DWU      +1.0      53.9     340.8
GLA      -1.0      50.0     210.7
GSC      -1.0      50.0     251.5
ISA      +1.0      49.1     261.0
MMU      -1.0      53.9      27.4
MSU      -1.0      53.9       3.9
NMUZ     +0.5      53.9     348.1
PLM      +1.0      50.0     230.1
SCN      -1.0      53.9     152.2
SNO      -0.5      50.5      13.0
SRG      +0.5      50.5     301.1
TPC      +1.0      50.0     231.6
WMZ      +1.0      53.9     179.6
