 MMA      +1.0      88.2     172.0
 KNB      -1.0      88.2     352.0
 GCA      +1.0      88.2      15.0
 NEL      -1.0      88.2     286.0
 LEE      +1.0      88.2     336.0
 CCU      +1.0      85.9     345.0
 TUC      +1.0      85.9     157.0
 MCV      -1.0      85.9     297.0
 GSC      -1.0      83.8     273.0
 NYM      +1.0      83.8     305.0
 BAR      -1.0      83.8     237.0
 PCU      +1.0      81.9      14.0
 ALQ      +1.0      81.9      91.0
 DUG      +1.0      81.9     355.0
 UBO      +1.0      80.1      21.0
