
Event      Latitude Longitude     Depth  Origin Time                      Page
110626       35.046  -111.513     3.500   10:41:28.4                        1 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
SDP    0      4.26     78.93    261.90     50.02   10:42:35.6  10:43:26.6
ALA    0      3.65    307.98    125.86     50.02   10:42:26.8  10:43:11.1
ARUT   0      3.15    330.97    149.83     50.02   10:42:19.7  10:42:58.4
ATNV   0      6.26    316.59    133.23     49.54   10:43: 3.9  10:44:17.0
BAR    0      5.00    123.95    306.64     50.02   10:42:46.0  10:43:45.2
BC3    0      3.54    248.06     65.84     50.02   10:42:25.4  10:43: 8.5
BCN    0      2.87    289.95    108.03     50.50   10:42:15.7  10:42:51.3
BGVA   0      2.53    319.65    138.45     50.50   10:42:11.0  10:42:42.9
BLGU   0      2.73    322.67    141.45     50.50   10:42:13.8  10:42:47.9
BMT    0      3.59    101.16    283.57     50.02   10:42:26.0  10:43: 9.6
BRG    0      4.30    245.51     62.91     50.02   10:42:36.1  10:43:27.5
CAV    0      3.96    271.45     88.70     50.02   10:42:31.3  10:43:19.1
CCU    0      2.91    334.87    153.96     50.50   10:42:16.4  10:42:52.4
CDY    0      3.97    268.26     85.51     50.02   10:42:31.4  10:43:19.2
CLC    0      5.03    280.55     97.04     49.43   10:42:46.4  10:43:46.0
CMU    0      4.18      9.58    190.12     50.02   10:42:34.4  10:43:24.6
CO2    0      3.38    250.36     68.20     50.02   10:42:23.1  10:43: 4.5
COA    0      3.21    249.44     67.41     50.02   10:42:20.6  10:42:60.0
CPCL   0      4.65    241.60     58.90     50.02   10:42:41.1  10:43:36.6
CPM    0      3.97    258.36     75.72     50.02   10:42:31.4  10:43:19.2
CPRX   0      6.66    105.41    289.67     49.54   10:43: 9.4  10:44:26.9
CPX    0      4.13    298.35    115.70     50.02   10:42:33.8  10:43:23.4
CTW    0      3.86    250.49     68.04     50.02   10:42:29.8  10:43:16.4
CZL    0      4.73     73.25    256.50     50.02   10:42:42.2  10:43:38.4
DBD    0      4.27      4.38    184.63     50.02   10:42:35.7  10:43:26.9
DLM    0      3.65    315.39    133.49     50.02   10:42:26.9  10:43:11.1
DRCO   0      3.86     50.23    232.43     50.02   10:42:29.9  10:43:16.5
DVCL   0      3.83    283.15    100.50     50.02   10:42:29.4  10:43:15.7
DWU    0      3.28    339.05    158.17     50.02   10:42:21.6  10:43: 1.8
EMN    0      2.79    289.21    107.34     50.50   10:42:14.6  10:42:49.3
EMUT   0      4.79      6.45    186.87     50.02   10:42:43.1  10:43:40.1
EUR    0      5.68    322.56    139.87     49.43   10:42:55.6  10:44: 2.3
FGU    0      6.11     15.33    196.64     49.54   10:43: 1.6  10:44:13.1
FMUT   0      4.20    352.62    172.20     50.02   10:42:34.7  10:43:25.1
FRG    0      3.97    252.42     69.86     50.02   10:42:31.5  10:43:19.4
FSU    0      4.90    342.79    161.65     50.02   10:42:44.7  10:43:42.9
GCA    0      1.93    358.09    178.05     56.76   10:42: 2.2  10:42:27.4
GLA    0      3.39    235.07     53.23     50.02   10:42:23.3  10:43: 4.7
GMR    0      4.13    304.77    122.26     50.02   10:42:33.7  10:43:23.4
GRP    0      3.37    267.09     84.75     50.02   10:42:22.9  10:43: 4.2
HAY    0      3.66    249.80     67.48     50.02   10:42:27.1  10:43:11.5
ICU    0      2.87    317.78    136.36     50.50   10:42:15.8  10:42:51.3
IKP    0      4.51    239.28     56.73     50.02   10:42:39.1  10:43:32.9
IMU    0      3.81    340.31    159.33     50.02   10:42:29.2  10:43:15.3
JAS    0      7.75    294.53    109.24     49.07   10:43:24.7  10:44:54.1
JOAQ   0      4.06     78.34    261.16     50.02   10:42:32.7  10:43:21.6
KNB    0      2.23    332.04    151.27     50.50   10:42: 6.7  10:42:35.3
LAZ    0      3.66     98.86    281.35     50.02   10:42:27.0  10:43:11.4
LEE    0      2.66    326.01    144.91     50.50   10:42:12.8  10:42:46.1
LPM    0      4.09     98.93    281.69     50.02   10:42:33.1  10:43:22.3
LEVU   0      4.46    356.99    176.81     50.02   10:42:38.4  10:43:31.7
MEC    0      3.99    250.64     68.10     50.02   10:42:31.8  10:43:19.9

Event      Latitude Longitude     Depth  Origin Time                      Page
110626       35.046  -111.513     3.500   10:41:28.4                        2 
 
Stat.  N     Delta   Azimuth    Backaz  Take-off     P-time     S-time
-------------------------------------------------------------------------------
MLM    0      3.60     92.45    274.94     50.02   10:42:26.1  10:43: 9.8
MLNM   0      2.75    125.50    307.00     50.50   10:42:14.1  10:42:48.4
MMA    0      1.53    194.03     13.78     56.76   10:41:56.1  10:42:17.5
MMU    0      3.15      3.14    183.27     50.02   10:42:19.8  10:42:58.6
MNA    0      6.31    304.30    120.34     49.54   10:43: 4.6  10:44:18.3
MNNV   0      6.31    304.35    120.40     49.54   10:43: 4.5  10:44:18.2
MRC    0      6.22    296.94    112.81     49.54   10:43: 3.2  10:44:15.8
MSL    0      6.53    295.28    110.88     49.54   10:43: 7.6  10:44:23.7
MSU    0      3.50    351.48    171.08     50.02   10:42:24.8  10:43: 7.4
MTL    0      3.22     85.21    267.45     50.02   10:42:20.7  10:43: 0.2
MTLO   0      1.89    314.03    133.05     56.76   10:42: 1.7  10:42:26.6
MVUZ   0      3.50    350.97    170.55     50.02   10:42:24.7  10:43: 7.3
MWC    0      5.46    263.22     79.52     49.43   10:42:52.5  10:43:56.8
NPNS   0      6.27    295.32    111.11     49.54   10:43: 4.0  10:44:17.3
NVAR   0      6.41    303.75    119.70     49.54   10:43: 6.0  10:44:20.8
OWUT   0      3.73    357.10    176.96     50.02   10:42:28.0  10:43:13.3
PAS    0      5.56    262.63     78.86     49.43   10:42:54.0  10:43:59.5
PCU    0      4.59      6.85    187.28     50.02   10:42:40.2  10:43:34.9
PEC    0      4.81    257.75     74.56     50.02   10:42:43.3  10:43:40.4
PGAZ   0      1.86      1.31    181.34     56.76   10:42: 1.1  10:42:25.7
PLM    0      4.74    250.66     67.67     50.02   10:42:42.4  10:43:38.8
PNM    0      3.70    254.46     72.04     50.02   10:42:27.6  10:43:12.4
PRI    0      7.54    280.98     95.67     49.07   10:43:21.7  10:44:48.8
